date,resume template,isPartial,State
2017-06-01,22.0,False,AK
2017-07-01,21.0,False,AK
2017-08-01,39.0,False,AK
2017-09-01,41.0,False,AK
2017-10-01,39.0,False,AK
2017-11-01,40.0,False,AK
2017-12-01,20.0,False,AK
2018-01-01,0.0,False,AK
2018-02-01,20.0,False,AK
2018-03-01,0.0,False,AK
2018-04-01,0.0,False,AK
2018-05-01,0.0,False,AK
2018-06-01,60.0,False,AK
2018-07-01,0.0,False,AK
2018-08-01,37.0,False,AK
2018-09-01,0.0,False,AK
2018-10-01,19.0,False,AK
2018-11-01,0.0,False,AK
2018-12-01,21.0,False,AK
2019-01-01,0.0,False,AK
2011-01-01,49.0,False,AZ
2011-02-01,57.0,False,AZ
2011-03-01,46.0,False,AZ
2011-04-01,42.0,False,AZ
2011-05-01,40.0,False,AZ
2011-06-01,68.0,False,AZ
2011-07-01,95.0,False,AZ
2011-08-01,100.0,False,AZ
2011-09-01,48.0,False,AZ
2011-10-01,28.0,False,AZ
2011-11-01,33.0,False,AZ
2011-12-01,22.0,False,AZ
2012-01-01,44.0,False,AZ
2012-02-01,42.0,False,AZ
2012-03-01,47.0,False,AZ
2012-04-01,35.0,False,AZ
2012-05-01,35.0,False,AZ
2012-06-01,52.0,False,AZ
2012-07-01,61.0,False,AZ
2012-08-01,48.0,False,AZ
2012-09-01,41.0,False,AZ
2012-10-01,58.0,False,AZ
2012-11-01,33.0,False,AZ
2012-12-01,36.0,False,AZ
2013-01-01,19.0,False,AZ
2013-02-01,63.0,False,AZ
2013-03-01,22.0,False,AZ
2013-04-01,47.0,False,AZ
2013-05-01,47.0,False,AZ
2013-06-01,53.0,False,AZ
2013-07-01,34.0,False,AZ
2013-08-01,49.0,False,AZ
2013-09-01,55.0,False,AZ
2013-10-01,53.0,False,AZ
2013-11-01,33.0,False,AZ
2013-12-01,54.0,False,AZ
2014-01-01,32.0,False,AZ
2014-02-01,19.0,False,AZ
2014-03-01,51.0,False,AZ
2014-04-01,39.0,False,AZ
2014-05-01,32.0,False,AZ
2014-06-01,30.0,False,AZ
2014-07-01,22.0,False,AZ
2014-08-01,50.0,False,AZ
2014-09-01,25.0,False,AZ
2014-10-01,65.0,False,AZ
2014-11-01,17.0,False,AZ
2014-12-01,34.0,False,AZ
2015-01-01,28.0,False,AZ
2015-02-01,38.0,False,AZ
2015-03-01,35.0,False,AZ
2015-04-01,41.0,False,AZ
2015-05-01,45.0,False,AZ
2015-06-01,30.0,False,AZ
2015-07-01,49.0,False,AZ
2015-08-01,55.0,False,AZ
2015-09-01,38.0,False,AZ
2015-10-01,41.0,False,AZ
2015-11-01,27.0,False,AZ
2015-12-01,23.0,False,AZ
2016-01-01,26.0,False,AZ
2016-02-01,34.0,False,AZ
2016-03-01,22.0,False,AZ
2016-04-01,23.0,False,AZ
2016-05-01,23.0,False,AZ
2016-06-01,21.0,False,AZ
2016-07-01,18.0,False,AZ
2016-08-01,24.0,False,AZ
2016-09-01,10.0,False,AZ
2016-10-01,33.0,False,AZ
2016-11-01,25.0,False,AZ
2016-12-01,6.0,False,AZ
2017-01-01,12.0,False,AZ
2017-02-01,25.0,False,AZ
2017-03-01,19.0,False,AZ
2017-04-01,35.0,False,AZ
2017-05-01,21.0,False,AZ
2017-06-01,25.0,False,AZ
2017-07-01,19.0,False,AZ
2017-08-01,17.0,False,AZ
2017-09-01,20.0,False,AZ
2017-10-01,28.0,False,AZ
2017-11-01,26.0,False,AZ
2017-12-01,23.0,False,AZ
2018-01-01,24.0,False,AZ
2018-02-01,35.0,False,AZ
2018-03-01,27.0,False,AZ
2018-04-01,22.0,False,AZ
2018-05-01,30.0,False,AZ
2018-06-01,21.0,False,AZ
2018-07-01,11.0,False,AZ
2018-08-01,36.0,False,AZ
2018-09-01,25.0,False,AZ
2018-10-01,19.0,False,AZ
2018-11-01,20.0,False,AZ
2018-12-01,26.0,False,AZ
2019-01-01,21.0,False,AZ
2011-01-01,53.0,False,AR
2011-02-01,28.0,False,AR
2011-03-01,51.0,False,AR
2011-04-01,27.0,False,AR
2011-05-01,26.0,False,AR
2011-06-01,27.0,False,AR
2011-07-01,30.0,False,AR
2011-08-01,26.0,False,AR
2011-09-01,0.0,False,AR
2011-10-01,62.0,False,AR
2011-11-01,75.0,False,AR
2011-12-01,12.0,False,AR
2012-01-01,45.0,False,AR
2012-02-01,11.0,False,AR
2012-03-01,23.0,False,AR
2012-04-01,47.0,False,AR
2012-05-01,0.0,False,AR
2012-06-01,12.0,False,AR
2012-07-01,11.0,False,AR
2012-08-01,11.0,False,AR
2012-09-01,11.0,False,AR
2012-10-01,0.0,False,AR
2012-11-01,53.0,False,AR
2012-12-01,21.0,False,AR
2013-01-01,19.0,False,AR
2013-02-01,0.0,False,AR
2013-03-01,19.0,False,AR
2013-04-01,19.0,False,AR
2013-05-01,29.0,False,AR
2013-06-01,31.0,False,AR
2013-07-01,47.0,False,AR
2013-08-01,100.0,False,AR
2013-09-01,26.0,False,AR
2013-10-01,33.0,False,AR
2013-11-01,9.0,False,AR
2013-12-01,26.0,False,AR
2014-01-01,16.0,False,AR
2014-02-01,33.0,False,AR
2014-03-01,23.0,False,AR
2014-04-01,40.0,False,AR
2014-05-01,42.0,False,AR
2014-06-01,30.0,False,AR
2014-07-01,20.0,False,AR
2014-08-01,19.0,False,AR
2014-09-01,43.0,False,AR
2014-10-01,25.0,False,AR
2014-11-01,18.0,False,AR
2014-12-01,9.0,False,AR
2015-01-01,65.0,False,AR
2015-02-01,35.0,False,AR
2015-03-01,53.0,False,AR
2015-04-01,44.0,False,AR
2015-05-01,54.0,False,AR
2015-06-01,39.0,False,AR
2015-07-01,10.0,False,AR
2015-08-01,74.0,False,AR
2015-09-01,51.0,False,AR
2015-10-01,28.0,False,AR
2015-11-01,26.0,False,AR
2015-12-01,13.0,False,AR
2016-01-01,0.0,False,AR
2016-02-01,11.0,False,AR
2016-03-01,25.0,False,AR
2016-04-01,22.0,False,AR
2016-05-01,16.0,False,AR
2016-06-01,17.0,False,AR
2016-07-01,17.0,False,AR
2016-08-01,22.0,False,AR
2016-09-01,10.0,False,AR
2016-10-01,0.0,False,AR
2016-11-01,11.0,False,AR
2016-12-01,11.0,False,AR
2017-01-01,30.0,False,AR
2017-02-01,10.0,False,AR
2017-03-01,28.0,False,AR
2017-04-01,10.0,False,AR
2017-05-01,31.0,False,AR
2017-06-01,11.0,False,AR
2017-07-01,34.0,False,AR
2017-08-01,10.0,False,AR
2017-09-01,45.0,False,AR
2017-10-01,0.0,False,AR
2017-11-01,5.0,False,AR
2017-12-01,5.0,False,AR
2018-01-01,26.0,False,AR
2018-02-01,41.0,False,AR
2018-03-01,4.0,False,AR
2018-04-01,27.0,False,AR
2018-05-01,0.0,False,AR
2018-06-01,15.0,False,AR
2018-07-01,19.0,False,AR
2018-08-01,9.0,False,AR
2018-09-01,9.0,False,AR
2018-10-01,22.0,False,AR
2018-11-01,9.0,False,AR
2018-12-01,9.0,False,AR
2019-01-01,9.0,False,AR
2011-01-01,100.0,False,CA
2011-02-01,88.0,False,CA
2011-03-01,100.0,False,CA
2011-04-01,86.0,False,CA
2011-05-01,93.0,False,CA
2011-06-01,85.0,False,CA
2011-07-01,96.0,False,CA
2011-08-01,87.0,False,CA
2011-09-01,85.0,False,CA
2011-10-01,68.0,False,CA
2011-11-01,65.0,False,CA
2011-12-01,55.0,False,CA
2012-01-01,82.0,False,CA
2012-02-01,91.0,False,CA
2012-03-01,78.0,False,CA
2012-04-01,74.0,False,CA
2012-05-01,89.0,False,CA
2012-06-01,67.0,False,CA
2012-07-01,57.0,False,CA
2012-08-01,73.0,False,CA
2012-09-01,87.0,False,CA
2012-10-01,61.0,False,CA
2012-11-01,62.0,False,CA
2012-12-01,59.0,False,CA
2013-01-01,94.0,False,CA
2013-02-01,76.0,False,CA
2013-03-01,69.0,False,CA
2013-04-01,82.0,False,CA
2013-05-01,77.0,False,CA
2013-06-01,77.0,False,CA
2013-07-01,80.0,False,CA
2013-08-01,78.0,False,CA
2013-09-01,76.0,False,CA
2013-10-01,82.0,False,CA
2013-11-01,68.0,False,CA
2013-12-01,48.0,False,CA
2014-01-01,84.0,False,CA
2014-02-01,73.0,False,CA
2014-03-01,87.0,False,CA
2014-04-01,75.0,False,CA
2014-05-01,78.0,False,CA
2014-06-01,85.0,False,CA
2014-07-01,81.0,False,CA
2014-08-01,78.0,False,CA
2014-09-01,82.0,False,CA
2014-10-01,65.0,False,CA
2014-11-01,67.0,False,CA
2014-12-01,54.0,False,CA
2015-01-01,73.0,False,CA
2015-02-01,64.0,False,CA
2015-03-01,71.0,False,CA
2015-04-01,66.0,False,CA
2015-05-01,68.0,False,CA
2015-06-01,65.0,False,CA
2015-07-01,71.0,False,CA
2015-08-01,78.0,False,CA
2015-09-01,65.0,False,CA
2015-10-01,62.0,False,CA
2015-11-01,55.0,False,CA
2015-12-01,36.0,False,CA
2016-01-01,57.0,False,CA
2016-02-01,37.0,False,CA
2016-03-01,52.0,False,CA
2016-04-01,55.0,False,CA
2016-05-01,48.0,False,CA
2016-06-01,42.0,False,CA
2016-07-01,39.0,False,CA
2016-08-01,47.0,False,CA
2016-09-01,39.0,False,CA
2016-10-01,37.0,False,CA
2016-11-01,56.0,False,CA
2016-12-01,36.0,False,CA
2017-01-01,60.0,False,CA
2017-02-01,50.0,False,CA
2017-03-01,57.0,False,CA
2017-04-01,37.0,False,CA
2017-05-01,59.0,False,CA
2017-06-01,47.0,False,CA
2017-07-01,53.0,False,CA
2017-08-01,43.0,False,CA
2017-09-01,49.0,False,CA
2017-10-01,56.0,False,CA
2017-11-01,31.0,False,CA
2017-12-01,30.0,False,CA
2018-01-01,54.0,False,CA
2018-02-01,60.0,False,CA
2018-03-01,45.0,False,CA
2018-04-01,47.0,False,CA
2018-05-01,54.0,False,CA
2018-06-01,42.0,False,CA
2018-07-01,44.0,False,CA
2018-08-01,49.0,False,CA
2018-09-01,58.0,False,CA
2018-10-01,46.0,False,CA
2018-11-01,48.0,False,CA
2018-12-01,35.0,False,CA
2019-01-01,61.0,False,CA
2011-01-01,74.0,False,CO
2011-02-01,100.0,False,CO
2011-03-01,45.0,False,CO
2011-04-01,47.0,False,CO
2011-05-01,71.0,False,CO
2011-06-01,50.0,False,CO
2011-07-01,53.0,False,CO
2011-08-01,91.0,False,CO
2011-09-01,62.0,False,CO
2011-10-01,42.0,False,CO
2011-11-01,64.0,False,CO
2011-12-01,34.0,False,CO
2012-01-01,64.0,False,CO
2012-02-01,57.0,False,CO
2012-03-01,50.0,False,CO
2012-04-01,64.0,False,CO
2012-05-01,68.0,False,CO
2012-06-01,51.0,False,CO
2012-07-01,29.0,False,CO
2012-08-01,37.0,False,CO
2012-09-01,36.0,False,CO
2012-10-01,40.0,False,CO
2012-11-01,28.0,False,CO
2012-12-01,43.0,False,CO
2013-01-01,70.0,False,CO
2013-02-01,45.0,False,CO
2013-03-01,62.0,False,CO
2013-04-01,60.0,False,CO
2013-05-01,55.0,False,CO
2013-06-01,52.0,False,CO
2013-07-01,78.0,False,CO
2013-08-01,33.0,False,CO
2013-09-01,29.0,False,CO
2013-10-01,51.0,False,CO
2013-11-01,83.0,False,CO
2013-12-01,39.0,False,CO
2014-01-01,79.0,False,CO
2014-02-01,50.0,False,CO
2014-03-01,35.0,False,CO
2014-04-01,46.0,False,CO
2014-05-01,52.0,False,CO
2014-06-01,50.0,False,CO
2014-07-01,31.0,False,CO
2014-08-01,45.0,False,CO
2014-09-01,66.0,False,CO
2014-10-01,50.0,False,CO
2014-11-01,11.0,False,CO
2014-12-01,27.0,False,CO
2015-01-01,28.0,False,CO
2015-02-01,95.0,False,CO
2015-03-01,77.0,False,CO
2015-04-01,18.0,False,CO
2015-05-01,44.0,False,CO
2015-06-01,20.0,False,CO
2015-07-01,24.0,False,CO
2015-08-01,65.0,False,CO
2015-09-01,48.0,False,CO
2015-10-01,80.0,False,CO
2015-11-01,60.0,False,CO
2015-12-01,52.0,False,CO
2016-01-01,48.0,False,CO
2016-02-01,49.0,False,CO
2016-03-01,13.0,False,CO
2016-04-01,27.0,False,CO
2016-05-01,40.0,False,CO
2016-06-01,38.0,False,CO
2016-07-01,33.0,False,CO
2016-08-01,28.0,False,CO
2016-09-01,23.0,False,CO
2016-10-01,35.0,False,CO
2016-11-01,35.0,False,CO
2016-12-01,38.0,False,CO
2017-01-01,16.0,False,CO
2017-02-01,29.0,False,CO
2017-03-01,49.0,False,CO
2017-04-01,28.0,False,CO
2017-05-01,12.0,False,CO
2017-06-01,21.0,False,CO
2017-07-01,21.0,False,CO
2017-08-01,34.0,False,CO
2017-09-01,58.0,False,CO
2017-10-01,19.0,False,CO
2017-11-01,24.0,False,CO
2017-12-01,16.0,False,CO
2018-01-01,37.0,False,CO
2018-02-01,28.0,False,CO
2018-03-01,44.0,False,CO
2018-04-01,35.0,False,CO
2018-05-01,27.0,False,CO
2018-06-01,28.0,False,CO
2018-07-01,8.0,False,CO
2018-08-01,19.0,False,CO
2018-09-01,31.0,False,CO
2018-10-01,41.0,False,CO
2018-11-01,23.0,False,CO
2018-12-01,11.0,False,CO
2019-01-01,43.0,False,CO
2011-01-01,30.0,False,CT
2011-02-01,32.0,False,CT
2011-03-01,34.0,False,CT
2011-04-01,56.0,False,CT
2011-05-01,50.0,False,CT
2011-06-01,63.0,False,CT
2011-07-01,38.0,False,CT
2011-08-01,41.0,False,CT
2011-09-01,100.0,False,CT
2011-10-01,37.0,False,CT
2011-11-01,58.0,False,CT
2011-12-01,52.0,False,CT
2012-01-01,70.0,False,CT
2012-02-01,57.0,False,CT
2012-03-01,80.0,False,CT
2012-04-01,36.0,False,CT
2012-05-01,75.0,False,CT
2012-06-01,62.0,False,CT
2012-07-01,43.0,False,CT
2012-08-01,73.0,False,CT
2012-09-01,54.0,False,CT
2012-10-01,62.0,False,CT
2012-11-01,39.0,False,CT
2012-12-01,12.0,False,CT
2013-01-01,32.0,False,CT
2013-02-01,67.0,False,CT
2013-03-01,38.0,False,CT
2013-04-01,21.0,False,CT
2013-05-01,64.0,False,CT
2013-06-01,45.0,False,CT
2013-07-01,48.0,False,CT
2013-08-01,25.0,False,CT
2013-09-01,59.0,False,CT
2013-10-01,44.0,False,CT
2013-11-01,52.0,False,CT
2013-12-01,43.0,False,CT
2014-01-01,22.0,False,CT
2014-02-01,48.0,False,CT
2014-03-01,42.0,False,CT
2014-04-01,49.0,False,CT
2014-05-01,22.0,False,CT
2014-06-01,44.0,False,CT
2014-07-01,17.0,False,CT
2014-08-01,38.0,False,CT
2014-09-01,41.0,False,CT
2014-10-01,39.0,False,CT
2014-11-01,14.0,False,CT
2014-12-01,9.0,False,CT
2015-01-01,50.0,False,CT
2015-02-01,48.0,False,CT
2015-03-01,65.0,False,CT
2015-04-01,46.0,False,CT
2015-05-01,43.0,False,CT
2015-06-01,36.0,False,CT
2015-07-01,50.0,False,CT
2015-08-01,67.0,False,CT
2015-09-01,23.0,False,CT
2015-10-01,44.0,False,CT
2015-11-01,37.0,False,CT
2015-12-01,29.0,False,CT
2016-01-01,30.0,False,CT
2016-02-01,28.0,False,CT
2016-03-01,29.0,False,CT
2016-04-01,55.0,False,CT
2016-05-01,25.0,False,CT
2016-06-01,24.0,False,CT
2016-07-01,28.0,False,CT
2016-08-01,23.0,False,CT
2016-09-01,11.0,False,CT
2016-10-01,21.0,False,CT
2016-11-01,28.0,False,CT
2016-12-01,25.0,False,CT
2017-01-01,32.0,False,CT
2017-02-01,13.0,False,CT
2017-03-01,42.0,False,CT
2017-04-01,35.0,False,CT
2017-05-01,33.0,False,CT
2017-06-01,19.0,False,CT
2017-07-01,28.0,False,CT
2017-08-01,24.0,False,CT
2017-09-01,24.0,False,CT
2017-10-01,32.0,False,CT
2017-11-01,22.0,False,CT
2017-12-01,12.0,False,CT
2018-01-01,46.0,False,CT
2018-02-01,22.0,False,CT
2018-03-01,27.0,False,CT
2018-04-01,24.0,False,CT
2018-05-01,14.0,False,CT
2018-06-01,36.0,False,CT
2018-07-01,10.0,False,CT
2018-08-01,22.0,False,CT
2018-09-01,24.0,False,CT
2018-10-01,21.0,False,CT
2018-11-01,9.0,False,CT
2018-12-01,12.0,False,CT
2019-01-01,18.0,False,CT
2011-01-01,37.0,False,DC
2011-02-01,23.0,False,DC
2011-03-01,54.0,False,DC
2011-04-01,20.0,False,DC
2011-05-01,38.0,False,DC
2011-06-01,36.0,False,DC
2011-07-01,25.0,False,DC
2011-08-01,54.0,False,DC
2011-09-01,36.0,False,DC
2011-10-01,14.0,False,DC
2011-11-01,14.0,False,DC
2011-12-01,18.0,False,DC
2012-01-01,22.0,False,DC
2012-02-01,13.0,False,DC
2012-03-01,30.0,False,DC
2012-04-01,49.0,False,DC
2012-05-01,18.0,False,DC
2012-06-01,43.0,False,DC
2012-07-01,44.0,False,DC
2012-08-01,32.0,False,DC
2012-09-01,16.0,False,DC
2012-10-01,15.0,False,DC
2012-11-01,38.0,False,DC
2012-12-01,47.0,False,DC
2013-01-01,30.0,False,DC
2013-02-01,43.0,False,DC
2013-03-01,34.0,False,DC
2013-04-01,35.0,False,DC
2013-05-01,32.0,False,DC
2013-06-01,19.0,False,DC
2013-07-01,60.0,False,DC
2013-08-01,100.0,False,DC
2013-09-01,43.0,False,DC
2013-10-01,43.0,False,DC
2013-11-01,48.0,False,DC
2013-12-01,9.0,False,DC
2014-01-01,51.0,False,DC
2014-02-01,39.0,False,DC
2014-03-01,27.0,False,DC
2014-04-01,31.0,False,DC
2014-05-01,41.0,False,DC
2014-06-01,10.0,False,DC
2014-07-01,74.0,False,DC
2014-08-01,40.0,False,DC
2014-09-01,18.0,False,DC
2014-10-01,33.0,False,DC
2014-11-01,25.0,False,DC
2014-12-01,41.0,False,DC
2015-01-01,27.0,False,DC
2015-02-01,34.0,False,DC
2015-03-01,36.0,False,DC
2015-04-01,14.0,False,DC
2015-05-01,35.0,False,DC
2015-06-01,50.0,False,DC
2015-07-01,36.0,False,DC
2015-08-01,56.0,False,DC
2015-09-01,37.0,False,DC
2015-10-01,23.0,False,DC
2015-11-01,24.0,False,DC
2015-12-01,15.0,False,DC
2016-01-01,20.0,False,DC
2016-02-01,23.0,False,DC
2016-03-01,22.0,False,DC
2016-04-01,4.0,False,DC
2016-05-01,27.0,False,DC
2016-06-01,16.0,False,DC
2016-07-01,13.0,False,DC
2016-08-01,35.0,False,DC
2016-09-01,42.0,False,DC
2016-10-01,10.0,False,DC
2016-11-01,34.0,False,DC
2016-12-01,10.0,False,DC
2017-01-01,18.0,False,DC
2017-02-01,16.0,False,DC
2017-03-01,36.0,False,DC
2017-04-01,34.0,False,DC
2017-05-01,21.0,False,DC
2017-06-01,24.0,False,DC
2017-07-01,34.0,False,DC
2017-08-01,19.0,False,DC
2017-09-01,30.0,False,DC
2017-10-01,19.0,False,DC
2017-11-01,29.0,False,DC
