date,jobs near me,isPartial,State
2011-01-01,0,False,AL
2011-02-01,2,False,AL
2011-03-01,0,False,AL
2011-04-01,0,False,AL
2011-05-01,0,False,AL
2011-06-01,0,False,AL
2011-07-01,0,False,AL
2011-08-01,0,False,AL
2011-09-01,2,False,AL
2011-10-01,0,False,AL
2011-11-01,0,False,AL
2011-12-01,0,False,AL
2012-01-01,0,False,AL
2012-02-01,0,False,AL
2012-03-01,0,False,AL
2012-04-01,0,False,AL
2012-05-01,0,False,AL
2012-06-01,0,False,AL
2012-07-01,0,False,AL
2012-08-01,0,False,AL
2012-09-01,1,False,AL
2012-10-01,0,False,AL
2012-11-01,0,False,AL
2012-12-01,0,False,AL
2013-01-01,1,False,AL
2013-02-01,0,False,AL
2013-03-01,0,False,AL
2013-04-01,2,False,AL
2013-05-01,1,False,AL
2013-06-01,0,False,AL
2013-07-01,1,False,AL
2013-08-01,1,False,AL
2013-09-01,2,False,AL
2013-10-01,1,False,AL
2013-11-01,0,False,AL
2013-12-01,1,False,AL
2014-01-01,1,False,AL
2014-02-01,0,False,AL
2014-03-01,1,False,AL
2014-04-01,1,False,AL
2014-05-01,1,False,AL
2014-06-01,2,False,AL
2014-07-01,1,False,AL
2014-08-01,5,False,AL
2014-09-01,3,False,AL
2014-10-01,3,False,AL
2014-11-01,1,False,AL
2014-12-01,11,False,AL
2015-01-01,10,False,AL
2015-02-01,6,False,AL
2015-03-01,5,False,AL
2015-04-01,8,False,AL
2015-05-01,3,False,AL
2015-06-01,11,False,AL
2015-07-01,6,False,AL
2015-08-01,8,False,AL
2015-09-01,13,False,AL
2015-10-01,12,False,AL
2015-11-01,8,False,AL
2015-12-01,4,False,AL
2016-01-01,17,False,AL
2016-02-01,15,False,AL
2016-03-01,13,False,AL
2016-04-01,23,False,AL
2016-05-01,26,False,AL
2016-06-01,31,False,AL
2016-07-01,18,False,AL
2016-08-01,21,False,AL
2016-09-01,25,False,AL
2016-10-01,24,False,AL
2016-11-01,21,False,AL
2016-12-01,24,False,AL
2017-01-01,34,False,AL
2017-02-01,33,False,AL
2017-03-01,29,False,AL
2017-04-01,32,False,AL
2017-05-01,42,False,AL
2017-06-01,39,False,AL
2017-07-01,60,False,AL
2017-08-01,53,False,AL
2017-09-01,54,False,AL
2017-10-01,52,False,AL
2017-11-01,49,False,AL
2017-12-01,48,False,AL
2018-01-01,58,False,AL
2018-02-01,54,False,AL
2018-03-01,61,False,AL
2018-04-01,64,False,AL
2018-05-01,80,False,AL
2018-06-01,89,False,AL
2018-07-01,78,False,AL
2018-08-01,100,False,AL
2018-09-01,82,False,AL
2018-10-01,78,False,AL
2018-11-01,83,False,AL
2018-12-01,76,False,AL
2019-01-01,97,False,AL
2011-01-01,0,False,AK
2011-02-01,0,False,AK
2011-03-01,0,False,AK
2011-04-01,0,False,AK
2011-05-01,0,False,AK
2011-06-01,0,False,AK
2011-07-01,0,False,AK
2011-08-01,0,False,AK
2011-09-01,0,False,AK
2011-10-01,0,False,AK
2011-11-01,0,False,AK
2011-12-01,0,False,AK
2012-01-01,0,False,AK
2012-02-01,0,False,AK
2012-03-01,0,False,AK
2012-04-01,0,False,AK
2012-05-01,0,False,AK
2012-06-01,0,False,AK
2012-07-01,12,False,AK
2012-08-01,0,False,AK
2012-09-01,0,False,AK
2012-10-01,0,False,AK
2012-11-01,0,False,AK
2012-12-01,0,False,AK
2013-01-01,0,False,AK
2013-02-01,0,False,AK
2013-03-01,0,False,AK
2013-04-01,0,False,AK
2013-05-01,0,False,AK
2013-06-01,0,False,AK
2013-07-01,0,False,AK
2013-08-01,0,False,AK
2013-09-01,0,False,AK
2013-10-01,0,False,AK
2013-11-01,0,False,AK
2013-12-01,0,False,AK
2014-01-01,0,False,AK
2014-02-01,0,False,AK
2014-03-01,9,False,AK
2014-04-01,0,False,AK
2014-05-01,0,False,AK
2014-06-01,0,False,AK
2014-07-01,0,False,AK
2014-08-01,0,False,AK
2014-09-01,0,False,AK
2014-10-01,0,False,AK
2014-11-01,0,False,AK
2014-12-01,0,False,AK
2015-01-01,20,False,AK
2015-02-01,0,False,AK
2015-03-01,10,False,AK
2015-04-01,0,False,AK
2015-05-01,11,False,AK
2015-06-01,11,False,AK
2015-07-01,0,False,AK
2015-08-01,0,False,AK
2015-09-01,19,False,AK
2015-10-01,0,False,AK
2015-11-01,0,False,AK
2015-12-01,0,False,AK
2016-01-01,9,False,AK
2016-02-01,0,False,AK
2016-03-01,9,False,AK
2016-04-01,18,False,AK
2016-05-01,18,False,AK
2016-06-01,9,False,AK
2016-07-01,9,False,AK
2016-08-01,26,False,AK
2016-09-01,17,False,AK
2016-10-01,17,False,AK
2016-11-01,9,False,AK
2016-12-01,0,False,AK
2017-01-01,0,False,AK
2017-02-01,0,False,AK
2017-03-01,16,False,AK
2017-04-01,17,False,AK
2017-05-01,26,False,AK
2017-06-01,75,False,AK
2017-07-01,28,False,AK
2017-08-01,34,False,AK
2017-09-01,17,False,AK
2017-10-01,17,False,AK
2017-11-01,61,False,AK
2017-12-01,34,False,AK
2018-01-01,66,False,AK
2018-02-01,44,False,AK
2018-03-01,24,False,AK
2018-04-01,41,False,AK
2018-05-01,100,False,AK
2018-06-01,68,False,AK
2018-07-01,50,False,AK
2018-08-01,57,False,AK
2018-09-01,97,False,AK
2018-10-01,89,False,AK
2018-11-01,32,False,AK
2018-12-01,99,False,AK
2019-01-01,85,False,AK
2011-01-01,0,False,AZ
2011-02-01,0,False,AZ
2011-03-01,0,False,AZ
2011-04-01,0,False,AZ
2011-05-01,0,False,AZ
2011-06-01,0,False,AZ
2011-07-01,0,False,AZ
2011-08-01,1,False,AZ
2011-09-01,0,False,AZ
2011-10-01,0,False,AZ
2011-11-01,0,False,AZ
2011-12-01,1,False,AZ
2012-01-01,0,False,AZ
2012-02-01,0,False,AZ
2012-03-01,0,False,AZ
2012-04-01,1,False,AZ
2012-05-01,1,False,AZ
2012-06-01,0,False,AZ
2012-07-01,1,False,AZ
2012-08-01,1,False,AZ
2012-09-01,1,False,AZ
2012-10-01,0,False,AZ
2012-11-01,0,False,AZ
2012-12-01,1,False,AZ
2013-01-01,0,False,AZ
2013-02-01,0,False,AZ
2013-03-01,0,False,AZ
2013-04-01,0,False,AZ
2013-05-01,2,False,AZ
2013-06-01,0,False,AZ
2013-07-01,1,False,AZ
2013-08-01,2,False,AZ
2013-09-01,3,False,AZ
2013-10-01,1,False,AZ
2013-11-01,1,False,AZ
2013-12-01,0,False,AZ
2014-01-01,3,False,AZ
2014-02-01,1,False,AZ
2014-03-01,0,False,AZ
2014-04-01,1,False,AZ
2014-05-01,5,False,AZ
2014-06-01,1,False,AZ
2014-07-01,2,False,AZ
2014-08-01,3,False,AZ
2014-09-01,3,False,AZ
2014-10-01,5,False,AZ
2014-11-01,1,False,AZ
2014-12-01,3,False,AZ
2015-01-01,5,False,AZ
2015-02-01,4,False,AZ
2015-03-01,1,False,AZ
